ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
03b953eb7ad4faa9b2a57c5e3ad16123;9076.0;32385.0;51623.0;9518.0;20158.0;37293.0;107.0;1748.0;5178.0;13336.0;3579.0;375.0;37.0;3796.0;2190.0;1059.0;117.0;117.0;1294.0;310.0;54.0
ece026f7697d91b3f09dc4d60c4d27d1;1771.0;170.0;1494.0;1332.0;1011.0;775.0;27.0;321.0;832.0;1097.0;189.0;237.0;20.0;609.0;714.0;249.0;118.0;148.0;757.0;431.0;128.0
30994505276e8272889f568877f75992;4451.0;1549.0;7765.0;5502.0;4345.0;4656.0;25.0;924.0;3014.0;3175.0;1267.0;353.0;102.0;2596.0;1312.0;286.0;238.0;238.0;1499.0;960.0;446.0
86e7f17e3f0ffcba88a838de00bf8e38;983.0;483.0;3345.0;2341.0;381.0;629.0;0.0;50.0;521.0;419.0;96.0;14.0;0.0;529.0;122.0;89.0;10.0;4.0;362.0;271.0;419.0
4a18cdce49815d92b672a423e447a9a7;19974.0;57443.0;84551.0;15772.0;19326.0;35951.0;114.0;3531.0;7047.0;11317.0;2351.0;761.0;52.0;3161.0;2040.0;766.0;171.0;174.0;1298.0;422.0;76.0
52a5c11ab3303a158970ff0170b0a774;157.0;30.0;361.0;183.0;113.0;88.0;0.0;1.0;46.0;46.0;21.0;0.0;0.0;12.0;14.0;3.0;0.0;1.0;4.0;0.0;0.0
f576e9d29c9c135304fd70c51a1dfa84;566.0;838.0;1880.0;968.0;907.0;1880.0;10.0;154.0;695.0;2058.0;364.0;119.0;6.0;1047.0;806.0;415.0;48.0;80.0;1286.0;584.0;240.0
3ba9473fe94a0c03583f7fd85737bd08;6146.0;101303.0;74309.0;15429.0;15664.0;55548.0;13.0;543.0;4966.0;16618.0;2901.0;420.0;52.0;8527.0;3478.0;2487.0;364.0;617.0;6934.0;4338.0;2656.0
5f7afd81a3afd1bfef4aaf5d37447106;9.0;0.0;11.0;64.0;10.0;14.0;0.0;5.0;45.0;26.0;23.0;7.0;0.0;49.0;64.0;3.0;4.0;8.0;54.0;35.0;8.0
501b9e775d0303cc4ec53572a8c4feb7;19.0;251.0;268.0;74.0;144.0;523.0;0.0;0.0;81.0;121.0;69.0;0.0;0.0;122.0;18.0;52.0;0.0;0.0;72.0;5.0;7.0
9a8e761875fd7fa1171e72ba798d15c8;1787.0;6702.0;10763.0;2194.0;1912.0;5409.0;6.0;208.0;774.0;1737.0;369.0;61.0;5.0;378.0;261.0;231.0;24.0;12.0;184.0;18.0;5.0
62a51f33208125c840b098aa053d1404;42.0;4.0;66.0;67.0;101.0;45.0;0.0;16.0;149.0;72.0;30.0;18.0;0.0;134.0;71.0;19.0;8.0;12.0;92.0;60.0;31.0
fc8c7e09a249b0ed1ebf18be236174c3;4.0;32.0;27.0;3.0;11.0;31.0;0.0;2.0;1.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
dc8e6ac9008d1975afe7c73416886ede;7306.0;19013.0;22094.0;3600.0;2997.0;5631.0;64.0;831.0;1037.0;1436.0;311.0;230.0;17.0;310.0;250.0;162.0;45.0;22.0;112.0;23.0;8.0
44ca051cba16cb27fbf34f7d4431ebf8;1211.0;829.0;3131.0;1501.0;1758.0;1814.0;18.0;216.0;997.0;1527.0;331.0;62.0;0.0;798.0;356.0;185.0;26.0;43.0;493.0;166.0;55.0
39bc5a3380d4244cb45053f9f27103d8;7.0;9.0;41.0;28.0;24.0;73.0;0.0;0.0;2.0;11.0;20.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
